URL,Name,Rating,Rating Count,Detailed Ratings,Price Category,Address,Lat,Lon,ZipCode
https://www.google.com/maps/place/Mi+Quisqueya/data=!4m7!3m6!1s0x89c251ff1462e005:0x62089fadc1ae74bf!8m2!3d40.6594597!4d-74.1222006!16s%2Fg%2F1tjypmpl!19sChIJBeBiFP9RwokRv3Suwa2fCGI?authuser=0&hl=ka&rclk=1,Mi Quisqueya,4.3,368.0,"{'Rating 5 ': 246.0, 'Rating 4 ': 58.0, 'Rating 3 ': 21.0, 'Rating 2 ': 10.0, 'Rating 1 ': 33.0}",1.0,"365 Broadway, Bayonne, NJ 07002",40.6594597,-74.1222006,07002
https://www.google.com/maps/place/Upside+Craft+Burger/data=!4m7!3m6!1s0x89c244d3adc43b15:0xc83a103d3fb466be!8m2!3d40.6361688!4d-73.9906403!16s%2Fg%2F11c5rqfvct!19sChIJFTvErdNEwokRvma0Pz0QOsg?authuser=0&hl=ka&rclk=1,Upside Craft Burger,4.5,1091.0,"{'Rating 5 ': 842.0, 'Rating 4 ': 120.0, 'Rating 3 ': 57.0, 'Rating 2 ': 21.0, 'Rating 1 ': 51.0}",2.0,"4621 13th Ave, Brooklyn, NY 11219",40.6361688,-73.9906403,11219
https://www.google.com/maps/place/Kings+Arms+Diner/data=!4m7!3m6!1s0x89c24e6c73344dc9:0x83a83a1576470a56!8m2!3d40.630286!4d-74.1068823!16s%2Fg%2F1wv_t3h9!19sChIJyU00c2xOwokRVgpHdhU6qIM?authuser=0&hl=ka&rclk=1,Kings Arms Diner,4.0,882.0,"{'Rating 5 ': 408.0, 'Rating 4 ': 255.0, 'Rating 3 ': 120.0, 'Rating 2 ': 38.0, 'Rating 1 ': 61.0}",1.0,"500 Forest Ave, Staten Island, NY 10310",40.630286,-74.1068823,10310
https://www.google.com/maps/place/Bettie%27s+Restaurant/data=!4m7!3m6!1s0x89c251ead1ef0f11:0x9ab671a7a84f06dd!8m2!3d40.7207266!4d-74.0816767!16s%2Fg%2F11t_zcfn8f!19sChIJEQ_v0epRwokR3QZPqKdxtpo?authuser=0&hl=ka&rclk=1,Bettie's Restaurant,4.2,83.0,"{'Rating 5 ': 56.0, 'Rating 4 ': 10.0, 'Rating 3 ': 3.0, 'Rating 2 ': 4.0, 'Rating 1 ': 10.0}",,"579 West Side Ave, Jersey City, NJ 07304",40.7207266,-74.0816767,07304
https://www.google.com/maps/place/Trinity+Place/data=!4m7!3m6!1s0x89c25a174200f0e3:0x592ab3bc5425b6cd!8m2!3d40.708882!4d-74.0114326!16s%2Fg%2F1tjmfkz8!19sChIJ4_AAQhdawokRzbYlVLyzKlk?authuser=0&hl=ka&rclk=1,Trinity Place,4.4,1314.0,"{'Rating 5 ': 760.0, 'Rating 4 ': 365.0, 'Rating 3 ': 120.0, 'Rating 2 ': 37.0, 'Rating 1 ': 32.0}",2.0,"115 Broadway, New York, NY 10006",40.708882,-74.0114326,10006
"https://www.google.com/maps/place/BUNSIKNARA+PLUS+%7C+Korean+Restaurant+in+Little+Ferry,+NJ/data=!4m7!3m6!1s0x89c2f9b4f96817fb:0xf3f5fc3c548ab8f!8m2!3d40.8551179!4d-74.0343587!16s%2Fg%2F11sf84844w!19sChIJ-xdo-bT5wokRj6tIxcNfPw8?authuser=0&hl=ka&rclk=1","BUNSIKNARA PLUS | Korean Restaurant in Little Ferry, NJ",4.6,301.0,"{'Rating 5 ': 246.0, 'Rating 4 ': 22.0, 'Rating 3 ': 14.0, 'Rating 2 ': 6.0, 'Rating 1 ': 13.0}",2.0,"260 Bergen Turnpike Suite 3, Little Ferry, NJ 07643",40.8551179,-74.0343587,07643
https://www.google.com/maps/place/Maddy+Rose+Restaurant+at+Liberty+House/data=!4m7!3m6!1s0x89c25142223c1bb9:0x26907e6594a4d8db!8m2!3d40.7092337!4d-74.0399722!16s%2Fg%2F11v66b57q1!19sChIJuRs8IkJRwokR29iklGV-kCY?authuser=0&hl=ka&rclk=1,Maddy Rose Restaurant at Liberty House,3.5,18.0,"{'Rating 5 ': 10.0, 'Rating 4 ': 0.0, 'Rating 3 ': 0.0, 'Rating 2 ': 5.0, 'Rating 1 ': 3.0}",,"76 Audrey Zapp Dr Floor 1, Jersey City, NJ 07305",40.7092337,-74.0399722,07305
https://www.google.com/maps/place/Honest+Restaurant+Clifton/data=!4m7!3m6!1s0x89c2ff2f5e847841:0x6b65b8b327ad7eb1!8m2!3d40.8285317!4d-74.1419492!16s%2Fg%2F11rd0wq1rf!19sChIJQXiEXi__wokRsX6tJ7O4ZWs?authuser=0&hl=ka&rclk=1,Honest Restaurant Clifton,3.8,376.0,"{'Rating 5 ': 212.0, 'Rating 4 ': 49.0, 'Rating 3 ': 23.0, 'Rating 2 ': 15.0, 'Rating 1 ': 77.0}",2.0,"60 Main Ave, Clifton, NJ 07014",40.8285317,-74.1419492,07014
https://www.google.com/maps/place/Danna+Restaurant/data=!4m7!3m6!1s0x89c2f76b57234cb5:0xbf21e9945d2c2f0b!8m2!3d40.805912!4d-74.0096124!16s%2Fg%2F11qn_8bscm!19sChIJtUwjV2v3wokRCy8sXZTpIb8?authuser=0&hl=ka&rclk=1,Danna Restaurant,4.4,26.0,"{'Rating 5 ': 21.0, 'Rating 4 ': 1.0, 'Rating 3 ': 0.0, 'Rating 2 ': 2.0, 'Rating 1 ': 2.0}",,"8214 John F. Kennedy Blvd, North Bergen, NJ 07047",40.805912,-74.0096124,07047
https://www.google.com/maps/place/Los+Bravos+Restaurant+3rd+St./data=!4m7!3m6!1s0x89c2f9e0704ee879:0x65e3b1c5ef3a659c!8m2!3d40.8660095!4d-74.1161382!16s%2Fg%2F11frs4n5r8!19sChIJeehOcOD5wokRnGU678Wx42U?authuser=0&hl=ka&rclk=1,Los Bravos Restaurant 3rd St.,3.6,10.0,"{'Rating 5 ': 6.0, 'Rating 4 ': 0.0, 'Rating 3 ': 1.0, 'Rating 2 ': 0.0, 'Rating 1 ': 3.0}",,"127 3rd St, Passaic, NJ 07055",40.8660095,-74.1161382,07055
