the_geom,NAME,STREETNAME,HOUSENUM,CITY,ZIP,URL,BIN,BBL,X,Y,SYSTEM,BOROCODE
POINT (-73.75379739629261 40.707003911354256),South Hollis,Hollis Avenue,204-01,South Hollis,11412,http://www.queenslibrary.org/branch/South-Hollis?filters=ev_loc:95300000,"4,442,263",4109070030,"1,052,510","196,953",QPL,4
POINT (-73.79021187041809 40.695611117576654),South Jamaica,Guy R. Brewer Boulevard,108-41,Jamaica,11433,http://www.queenslibrary.org/branch/South-Jamaica?filters=ev_loc:95400000,"4,539,786",4101710008,"1,042,424","192,776",QPL,4
POINT (-73.80926182925428 40.674783953734696),South Ozone Park,Rockaway Boulevard,128-16,South Ozone Park,11420,http://www.queenslibrary.org/branch/South-Ozone-Park?filters=ev_loc:95500000,"4,254,814",4117500057,"1,037,158","185,176",QPL,4
POINT (-73.76007289358745 40.69249997141939),St.Albans,Linden Boulevard,191-05,St. Albans,11412,http://www.queenslibrary.org/branch/St.Albans?filters=ev_loc:95200000,"4,238,275",4110620024,"1,050,784.58759","191,663.97522",QPL,4
POINT (-73.90945659290355 40.77682707405275),Steinway,31 Street,21-45,Long Island City,11105,http://www.queenslibrary.org/branch/Steinway?filters=ev_loc:95600000,"4,016,923",4008310015,"1,009,327.01459","222,308.833435",QPL,4
POINT (-73.9216680312544 40.7408466968306),Sunnyside,Greenpoint Avenue,43-06,Long Island City,11104,http://www.queenslibrary.org/branch/Sunnyside?filters=ev_loc:95700000,"4,002,111",4001730016,"1,005,956.64264","209,196.751038",QPL,4
POINT (-73.81070183926587 40.78854019464647),Whitestone,14 Road,151-10,Whitestone,11357,http://www.queenslibrary.org/branch/Whitestone?filters=ev_loc:95800000,"4,107,201",4047170025,"1,036,669","226,620",QPL,4
POINT (-73.7556194209342 40.73450483347836),Windsor Park,Bell Boulevard,79-50,Bayside,11364,http://www.queenslibrary.org/branch/Windsor-Park?filters=ev_loc:95900000,"4,164,306",4077720001,"1,051,976.89001","206,970.9776",QPL,4
POINT (-73.86145741517984 40.69453115325741),Woodhaven,Forest Parkway,85-41,Woodhaven,11421,http://www.queenslibrary.org/branch/Woodhaven?filters=ev_loc:96000000,"4,181,578",4088560085,"1,022,668.33783","192,343.257019",QPL,4
POINT (-73.9097937387323 40.745341712986715),Woodside,Skillman Avenue,54-22,Woodside,11377,http://www.queenslibrary.org/branch/Woodside?filters=ev_loc:96100000,"4,030,847",4013170085,"1,009,245.45098","210,837.593138",QPL,4
