PCT,CRIME,2019,2020,2021,2022,2023
10,MISDEMEANOR SEX CRIMES (4),56,32,44,54,66
10,MISDEMEANOR DANGEROUS DRUGS  (1),69,30,28,88,114
10,MISDEMEANOR DANGEROUS WEAPONS (5)               ,9,4,5,16,13
10,PETIT LARCENY                         ,842,715,578,746,822
10,ASSAULT 3 AND RELATED OFFENSES        ,339,244,326,376,363
10,INTOXICATED & IMPAIRED DRIVING              ,78,10,5,17,10
10,VEHICLE AND TRAFFIC LAWS              ,53,29,51,82,112
10,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,227,215,242,185,204
10,CRIMINAL TRESPASS,104,71,59,83,76
10,UNAUTHORIZED USE OF A VEHICLE           ,15,12,15,14,7
10,OFFENSES AGAINST THE PERSON (7)      ,11,5,21,20,7
10,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),70,53,56,54,48
10,ADMINISTRATIVE CODE (6)            ,5,2,4,2,2
10,FRAUDS (3)                    ,19,15,79,30,65
10,AGGRAVATED HARASSMENT 2               ,180,108,122,110,105
10,OTHER MISDEMEANORS (8),110,98,135,168,183
10,TOTAL MISDEMEANOR OFFENSES,2192,1646,1772,2049,2201
13,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,8,2,7,3,6
13,MISDEMEANOR SEX CRIMES (4),127,78,93,103,105
13,MISDEMEANOR DANGEROUS DRUGS  (1),168,37,39,49,31
13,MISDEMEANOR DANGEROUS WEAPONS (5)               ,32,10,5,16,24
13,PETIT LARCENY                         ,2408,1762,1980,2342,2319
13,ASSAULT 3 AND RELATED OFFENSES        ,534,382,458,508,520
13,INTOXICATED & IMPAIRED DRIVING              ,35,9,12,20,18
13,VEHICLE AND TRAFFIC LAWS              ,74,37,91,91,126
13,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,396,369,360,313,276
13,CRIMINAL TRESPASS,58,87,70,74,42
13,UNAUTHORIZED USE OF A VEHICLE           ,6,5,13,6,7
13,OFFENSES AGAINST THE PERSON (7)      ,10,8,5,10,20
13,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),75,55,58,48,66
13,ADMINISTRATIVE CODE (6)            ,6,4,1,1,1
13,FRAUDS (3)                    ,46,35,84,63,73
13,AGGRAVATED HARASSMENT 2               ,263,178,152,166,167
13,OTHER MISDEMEANORS (8),295,138,162,180,289
13,TOTAL MISDEMEANOR OFFENSES,4541,3196,3590,3993,4090
14,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,22,17,14,22,26
14,MISDEMEANOR SEX CRIMES (4),177,97,130,188,217
14,MISDEMEANOR DANGEROUS DRUGS  (1),447,193,436,498,283
14,MISDEMEANOR DANGEROUS WEAPONS (5)               ,36,21,49,66,101
14,PETIT LARCENY                         ,3057,1823,2333,3416,4017
14,ASSAULT 3 AND RELATED OFFENSES        ,661,542,858,930,1108
14,INTOXICATED & IMPAIRED DRIVING              ,28,5,17,14,19
14,VEHICLE AND TRAFFIC LAWS              ,73,49,91,121,162
14,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,319,378,393,353,280
14,CRIMINAL TRESPASS,209,94,146,164,113
14,UNAUTHORIZED USE OF A VEHICLE           ,2,11,14,10,9
14,OFFENSES AGAINST THE PERSON (7)      ,22,10,35,27,44
14,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),126,70,132,179,186
14,ADMINISTRATIVE CODE (6)            ,0,1,1,2,1
14,FRAUDS (3)                    ,46,30,60,94,121
14,AGGRAVATED HARASSMENT 2               ,295,148,191,180,177
14,OTHER MISDEMEANORS (8),618,286,482,695,1010
14,TOTAL MISDEMEANOR OFFENSES,6138,3775,5382,6959,7874
17,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,5,1,1,3,0
17,MISDEMEANOR SEX CRIMES (4),47,40,60,43,52
17,MISDEMEANOR DANGEROUS DRUGS  (1),32,7,3,3,5
17,MISDEMEANOR DANGEROUS WEAPONS (5)               ,5,3,6,7,8
17,PETIT LARCENY                         ,1079,1315,1002,1221,1063
17,ASSAULT 3 AND RELATED OFFENSES        ,241,153,186,240,251
17,INTOXICATED & IMPAIRED DRIVING              ,13,16,5,11,9
17,VEHICLE AND TRAFFIC LAWS              ,84,65,73,86,137
17,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,171,186,216,165,94
17,CRIMINAL TRESPASS,45,23,31,30,33
17,UNAUTHORIZED USE OF A VEHICLE           ,1,7,3,6,7
17,OFFENSES AGAINST THE PERSON (7)      ,4,5,6,4,10
17,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),43,26,31,21,20
17,ADMINISTRATIVE CODE (6)            ,0,4,1,2,0
17,FRAUDS (3)                    ,20,25,56,44,29
17,AGGRAVATED HARASSMENT 2               ,71,58,47,66,57
17,OTHER MISDEMEANORS (8),132,65,77,81,120
17,TOTAL MISDEMEANOR OFFENSES,1993,1999,1804,2033,1895
18,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,8,6,4,3,11
18,MISDEMEANOR SEX CRIMES (4),110,47,69,105,120
18,MISDEMEANOR DANGEROUS DRUGS  (1),54,26,28,30,52
18,MISDEMEANOR DANGEROUS WEAPONS (5)               ,12,7,11,31,35
18,PETIT LARCENY                         ,2122,1434,2012,2797,2766
18,ASSAULT 3 AND RELATED OFFENSES        ,653,314,452,565,693
18,INTOXICATED & IMPAIRED DRIVING              ,25,13,13,15,10
18,VEHICLE AND TRAFFIC LAWS              ,96,59,75,92,170
18,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,293,300,277,281,178
18,CRIMINAL TRESPASS,64,93,83,64,52
18,UNAUTHORIZED USE OF A VEHICLE           ,16,13,28,13,32
18,OFFENSES AGAINST THE PERSON (7)      ,29,10,23,20,18
18,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),109,69,103,90,106
18,ADMINISTRATIVE CODE (6)            ,2,3,4,4,3
18,FRAUDS (3)                    ,87,44,75,101,128
18,AGGRAVATED HARASSMENT 2               ,268,142,103,109,138
18,OTHER MISDEMEANORS (8),347,157,264,294,422
18,TOTAL MISDEMEANOR OFFENSES,4295,2737,3624,4614,4934
19,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,10,6,4,9,6
19,MISDEMEANOR SEX CRIMES (4),93,57,76,75,89
19,MISDEMEANOR DANGEROUS DRUGS  (1),19,3,7,12,6
19,MISDEMEANOR DANGEROUS WEAPONS (5)               ,18,4,9,5,8
19,PETIT LARCENY                         ,2585,2669,2498,4021,3077
19,ASSAULT 3 AND RELATED OFFENSES        ,376,272,348,378,354
19,INTOXICATED & IMPAIRED DRIVING              ,16,7,22,19,16
19,VEHICLE AND TRAFFIC LAWS              ,87,98,99,149,170
19,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,382,363,275,248,183
19,CRIMINAL TRESPASS,50,34,29,36,43
19,UNAUTHORIZED USE OF A VEHICLE           ,17,11,6,15,21
19,OFFENSES AGAINST THE PERSON (7)      ,19,14,27,21,8
19,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),61,42,37,32,36
19,ADMINISTRATIVE CODE (6)            ,9,9,5,2,2
19,FRAUDS (3)                    ,72,94,143,89,107
19,AGGRAVATED HARASSMENT 2               ,152,116,148,147,143
19,OTHER MISDEMEANORS (8),184,117,169,176,181
19,TOTAL MISDEMEANOR OFFENSES,4150,3916,3902,5434,4450
20,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,2,3,3,2,5
20,MISDEMEANOR SEX CRIMES (4),57,25,44,46,48
20,MISDEMEANOR DANGEROUS DRUGS  (1),16,33,14,5,5
20,MISDEMEANOR DANGEROUS WEAPONS (5)               ,7,3,4,4,8
20,PETIT LARCENY                         ,1560,1367,1255,1222,1171
20,ASSAULT 3 AND RELATED OFFENSES        ,223,135,189,223,222
20,INTOXICATED & IMPAIRED DRIVING              ,13,3,4,13,10
20,VEHICLE AND TRAFFIC LAWS              ,29,20,41,77,107
20,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,338,306,271,292,125
20,CRIMINAL TRESPASS,31,18,24,10,17
20,UNAUTHORIZED USE OF A VEHICLE           ,11,8,9,4,11
20,OFFENSES AGAINST THE PERSON (7)      ,12,11,13,5,1
20,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),47,17,24,13,18
20,ADMINISTRATIVE CODE (6)            ,6,3,2,6,1
20,FRAUDS (3)                    ,79,51,89,48,32
20,AGGRAVATED HARASSMENT 2               ,80,82,78,86,69
20,OTHER MISDEMEANORS (8),106,61,104,96,109
20,TOTAL MISDEMEANOR OFFENSES,2617,2146,2168,2152,1959
22,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,1,0,0,1,0
22,MISDEMEANOR SEX CRIMES (4),8,6,6,13,13
22,MISDEMEANOR DANGEROUS DRUGS  (1),10,0,0,1,0
22,MISDEMEANOR DANGEROUS WEAPONS (5)               ,1,0,3,2,2
22,PETIT LARCENY                         ,51,34,34,34,43
22,ASSAULT 3 AND RELATED OFFENSES        ,32,23,25,35,47
22,INTOXICATED & IMPAIRED DRIVING              ,1,0,2,1,3
22,VEHICLE AND TRAFFIC LAWS              ,1,3,4,13,15
22,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,18,26,33,40,25
22,CRIMINAL TRESPASS,1,1,1,1,1
22,UNAUTHORIZED USE OF A VEHICLE           ,1,0,2,1,1
22,OFFENSES AGAINST THE PERSON (7)      ,2,1,2,0,0
22,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),3,2,2,1,0
22,ADMINISTRATIVE CODE (6)            ,0,0,0,0,0
22,FRAUDS (3)                    ,1,0,0,0,0
22,AGGRAVATED HARASSMENT 2               ,6,5,4,2,1
22,OTHER MISDEMEANORS (8),7,7,11,6,14
22,TOTAL MISDEMEANOR OFFENSES,144,108,129,151,165
23,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,13,2,5,6,12
23,MISDEMEANOR SEX CRIMES (4),73,64,84,93,121
23,MISDEMEANOR DANGEROUS DRUGS  (1),115,72,32,36,80
23,MISDEMEANOR DANGEROUS WEAPONS (5)               ,37,28,14,15,39
23,PETIT LARCENY                         ,823,763,751,922,938
23,ASSAULT 3 AND RELATED OFFENSES        ,633,551,553,541,669
23,INTOXICATED & IMPAIRED DRIVING              ,24,11,25,30,43
23,VEHICLE AND TRAFFIC LAWS              ,59,56,78,89,229
23,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,478,491,436,507,297
23,CRIMINAL TRESPASS,123,55,33,72,30
23,UNAUTHORIZED USE OF A VEHICLE           ,12,10,16,8,9
23,OFFENSES AGAINST THE PERSON (7)      ,34,20,38,22,22
23,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),241,271,243,227,190
23,ADMINISTRATIVE CODE (6)            ,6,8,5,4,4
23,FRAUDS (3)                    ,33,29,27,34,95
23,AGGRAVATED HARASSMENT 2               ,295,316,322,352,291
23,OTHER MISDEMEANORS (8),250,175,212,242,278
23,TOTAL MISDEMEANOR OFFENSES,3249,2922,2874,3200,3347
24,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6,3,5,6,12
24,MISDEMEANOR SEX CRIMES (4),37,36,44,49,59
24,MISDEMEANOR DANGEROUS DRUGS  (1),28,37,27,31,29
24,MISDEMEANOR DANGEROUS WEAPONS (5)               ,13,6,13,14,23
24,PETIT LARCENY                         ,1441,1406,1318,1842,1551
24,ASSAULT 3 AND RELATED OFFENSES        ,295,258,279,306,301
24,INTOXICATED & IMPAIRED DRIVING              ,16,11,8,23,19
24,VEHICLE AND TRAFFIC LAWS              ,25,31,39,68,170
24,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,341,334,276,262,250
24,CRIMINAL TRESPASS,32,50,32,17,24
24,UNAUTHORIZED USE OF A VEHICLE           ,5,3,5,7,13
24,OFFENSES AGAINST THE PERSON (7)      ,19,3,11,19,16
24,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),38,44,40,46,54
24,ADMINISTRATIVE CODE (6)            ,2,1,1,1,0
24,FRAUDS (3)                    ,35,28,47,28,42
24,AGGRAVATED HARASSMENT 2               ,91,74,100,85,72
24,OTHER MISDEMEANORS (8),155,157,131,169,159
24,TOTAL MISDEMEANOR OFFENSES,2579,2482,2376,2973,2794
25,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,7,3,2,9,14
25,MISDEMEANOR SEX CRIMES (4),93,65,74,65,87
25,MISDEMEANOR DANGEROUS DRUGS  (1),1148,727,571,463,1271
25,MISDEMEANOR DANGEROUS WEAPONS (5)               ,58,48,62,31,48
25,PETIT LARCENY                         ,1309,828,1011,1359,1284
25,ASSAULT 3 AND RELATED OFFENSES        ,666,490,530,553,554
25,INTOXICATED & IMPAIRED DRIVING              ,53,37,41,54,44
25,VEHICLE AND TRAFFIC LAWS              ,80,94,91,169,253
25,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,458,628,542,623,587
25,CRIMINAL TRESPASS,52,30,30,44,32
25,UNAUTHORIZED USE OF A VEHICLE           ,12,20,18,15,16
25,OFFENSES AGAINST THE PERSON (7)      ,20,8,16,14,11
25,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),144,128,118,109,123
25,ADMINISTRATIVE CODE (6)            ,8,4,3,4,3
25,FRAUDS (3)                    ,51,37,26,50,42
25,AGGRAVATED HARASSMENT 2               ,319,168,155,200,136
25,OTHER MISDEMEANORS (8),276,157,178,227,279
25,TOTAL MISDEMEANOR OFFENSES,4754,3472,3468,3989,4784
26,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,6,6,3,4,1
26,MISDEMEANOR SEX CRIMES (4),34,22,40,53,48
26,MISDEMEANOR DANGEROUS DRUGS  (1),57,36,29,14,15
26,MISDEMEANOR DANGEROUS WEAPONS (5)               ,18,14,8,13,17
26,PETIT LARCENY                         ,753,625,459,497,509
26,ASSAULT 3 AND RELATED OFFENSES        ,249,216,216,201,240
26,INTOXICATED & IMPAIRED DRIVING              ,13,9,7,13,19
26,VEHICLE AND TRAFFIC LAWS              ,20,29,44,56,140
26,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,419,346,327,224,230
26,CRIMINAL TRESPASS,69,40,25,28,15
26,UNAUTHORIZED USE OF A VEHICLE           ,2,7,4,6,10
26,OFFENSES AGAINST THE PERSON (7)      ,22,8,10,2,12
26,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),71,46,42,20,36
26,ADMINISTRATIVE CODE (6)            ,3,2,3,0,2
26,FRAUDS (3)                    ,20,19,30,74,103
26,AGGRAVATED HARASSMENT 2               ,145,133,98,97,108
26,OTHER MISDEMEANORS (8),128,67,90,116,138
26,TOTAL MISDEMEANOR OFFENSES,2029,1625,1435,1418,1643
28,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,10,8,9,4,9
28,MISDEMEANOR SEX CRIMES (4),35,33,56,60,55
28,MISDEMEANOR DANGEROUS DRUGS  (1),182,140,182,157,100
28,MISDEMEANOR DANGEROUS WEAPONS (5)               ,17,9,18,22,21
28,PETIT LARCENY                         ,1195,919,1158,1193,1246
28,ASSAULT 3 AND RELATED OFFENSES        ,538,364,417,404,397
28,INTOXICATED & IMPAIRED DRIVING              ,33,12,27,19,8
28,VEHICLE AND TRAFFIC LAWS              ,39,51,78,106,87
28,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,354,353,300,366,267
28,CRIMINAL TRESPASS,57,57,36,23,16
28,UNAUTHORIZED USE OF A VEHICLE           ,6,8,8,7,7
28,OFFENSES AGAINST THE PERSON (7)      ,29,14,23,18,15
28,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),113,90,70,115,106
28,ADMINISTRATIVE CODE (6)            ,11,6,4,3,4
28,FRAUDS (3)                    ,22,12,49,121,121
28,AGGRAVATED HARASSMENT 2               ,195,169,181,162,155
